,HOL,RNK,PAR,YDG,AVG,SC,EAG,BIR,PAR,BOG,DBL,OTH
36,11.0,1.0,5.0,512.0,5.56,0.56,0.0,12.0,49.0,22.0,12.0,7.0
37,2.0,2.0,4.0,438.0,4.45,0.45,0.0,6.0,56.0,32.0,4.0,4.0
38,14.0,3.0,3.0,185.0,3.43,0.43,0.0,4.0,66.0,19.0,10.0,3.0
39,17.0,4.0,4.0,446.0,4.39,0.39,0.0,5.0,64.0,23.0,8.0,2.0
40,13.0,5.0,4.0,396.0,4.33,0.33,0.0,9.0,54.0,35.0,4.0,0.0
41,9.0,6.0,4.0,438.0,4.28,0.28,1.0,6.0,63.0,28.0,3.0,1.0
42,15.0,7.0,4.0,421.0,4.23,0.23,0.0,19.0,55.0,19.0,6.0,3.0
43,18.0,8.0,5.0,529.0,5.21,0.21,1.0,26.0,45.0,16.0,11.0,3.0
44,4.0,9.0,3.0,189.0,3.2,0.2,0.0,9.0,69.0,20.0,3.0,1.0
45,8.0,10.0,3.0,212.0,3.19,0.19,0.0,8.0,70.0,21.0,3.0,0.0
46,7.0,11.0,4.0,404.0,4.18,0.18,0.0,12.0,68.0,14.0,8.0,0.0
47,10.0,12.0,4.0,419.0,4.12,0.12,0.0,20.0,56.0,21.0,4.0,1.0
48,5.0,13.0,4.0,378.0,4.11,0.11,0.0,19.0,58.0,20.0,5.0,0.0
49,16.0,14.0,3.0,148.0,3.11,0.11,0.0,15.0,64.0,20.0,3.0,0.0
50,12.0,15.0,4.0,356.0,4.07,0.07,0.0,14.0,68.0,19.0,1.0,0.0
51,1.0,16.0,5.0,567.0,5.05,0.05,1.0,21.0,57.0,18.0,5.0,0.0
52,6.0,17.0,4.0,292.0,3.97,-0.03,1.0,27.0,56.0,13.0,3.0,2.0
53,3.0,18.0,5.0,496.0,4.46,-0.54,8.0,56.0,27.0,8.0,1.0,2.0
