,HOL,RNK,PAR,YDG,AVG,SC,EAG,BIR,PAR,BOG,DBL,OTH
18,13.0,1.0,4.0,396.0,4.43,0.43,0.0,7.0,58.0,25.0,11.0,1.0
19,14.0,2.0,3.0,185.0,3.38,0.38,0.0,6.0,61.0,26.0,8.0,1.0
20,2.0,3.0,4.0,438.0,4.37,0.37,0.0,9.0,58.0,27.0,5.0,3.0
21,11.0,4.0,5.0,512.0,5.37,0.37,0.0,19.0,49.0,23.0,5.0,6.0
22,5.0,5.0,4.0,378.0,4.36,0.36,0.0,7.0,62.0,24.0,7.0,2.0
23,8.0,6.0,3.0,212.0,3.34,0.34,0.0,4.0,62.0,33.0,3.0,0.0
24,15.0,7.0,4.0,421.0,4.32,0.32,0.0,13.0,60.0,18.0,6.0,5.0
25,9.0,8.0,4.0,438.0,4.25,0.25,0.0,7.0,67.0,25.0,2.0,1.0
26,17.0,9.0,4.0,446.0,4.25,0.25,0.0,10.0,66.0,17.0,9.0,0.0
27,1.0,10.0,5.0,567.0,5.23,0.23,0.0,17.0,55.0,22.0,6.0,2.0
28,7.0,11.0,4.0,404.0,4.23,0.23,0.0,12.0,62.0,21.0,7.0,0.0
29,10.0,12.0,4.0,419.0,4.11,0.11,0.0,15.0,67.0,15.0,4.0,1.0
30,4.0,13.0,3.0,189.0,3.07,0.07,0.0,14.0,67.0,21.0,0.0,0.0
31,12.0,14.0,4.0,356.0,4.07,0.07,0.0,10.0,76.0,15.0,1.0,0.0
32,16.0,15.0,3.0,148.0,3.03,0.03,0.0,18.0,66.0,15.0,3.0,0.0
33,18.0,16.0,5.0,529.0,4.84,-0.16,3.0,36.0,47.0,9.0,5.0,2.0
34,6.0,17.0,4.0,292.0,3.77,-0.23,2.0,33.0,54.0,12.0,1.0,0.0
35,3.0,18.0,5.0,496.0,4.7,-0.3,7.0,52.0,23.0,9.0,9.0,2.0
