,hole,p1,p2,p3,p4,p5,p6,par,averagePar,diff
0,1,5,5,4,5,5,6,5,5.0,0.0
1,2,3,4,4,4,5,4,4,4.0,0.0
2,3,4,4,4,4,4,4,5,4.0,-1.0
3,4,3,3,4,2,3,3,3,3.0,0.0
4,5,4,4,3,3,4,6,4,4.0,0.0
5,6,4,4,3,4,3,4,4,3.6666666666666665,-0.3333333333333335
6,7,4,4,6,4,3,4,4,4.166666666666667,0.16666666666666696
7,8,4,3,3,3,3,4,3,3.3333333333333335,0.3333333333333335
8,9,4,4,4,3,4,3,4,3.6666666666666665,-0.3333333333333335
9,10,4,4,3,4,5,4,4,4.0,0.0
10,11,6,5,4,5,5,6,5,5.166666666666667,0.16666666666666696
11,12,4,4,3,4,4,4,4,3.8333333333333335,-0.16666666666666652
12,13,3,4,4,5,3,5,4,4.0,0.0
13,14,3,3,4,3,3,3,3,3.1666666666666665,0.16666666666666652
14,15,5,4,4,6,5,4,4,4.666666666666667,0.666666666666667
15,16,3,3,3,3,3,3,3,3.0,0.0
16,17,5,4,3,4,4,3,4,3.8333333333333335,-0.16666666666666652
17,18,5,3,5,4,5,4,5,4.333333333333333,-0.666666666666667
