p1,p2,p3,p4,p5,par,hole,averagePar,diff
5,4,4,4,4,4,1,4.2,0.2
3,3,4,4,4,4,2,3.6,-0.4
5,4,5,6,5,4,3,5,1
3,3,3,3,3,3,4,3,0
5,4,4,5,5,5,5,4.6,-0.4
4,5,3,4,4,4,6,4,0
3,4,5,6,5,4,7,4.6,0.6
3,3,3,4,4,3,8,3.4,0.4
4,6,6,6,8,5,9,6,1
4,4,4,4,4,4,10,4,0
4,4,4,4,5,4,11,4.2,0.2
3,2,3,4,3,3,12,3,0
4,4,4,4,4,4,13,4,0
4,5,5,5,5,5,14,4.8,-0.2
3,3,3,2,3,3,15,2.8,-0.2
4,4,3,4,5,4,16,4,0
5,4,5,6,5,5,17,5,0
4,6,5,4,4,4,18,4.6,0.6
