,HOL,RNK,PAR,YDG,AVG,SC,EAG,BIR,PAR,BOG,DBL,OTH
0,9.0,1.0,4.0,438.0,4.66,0.66,0.0,15.0,87.0,65.0,17.0,14.0
1,2.0,2.0,4.0,438.0,4.64,0.64,0.0,9.0,96.0,73.0,9.0,11.0
2,17.0,3.0,4.0,446.0,4.6,0.6,1.0,11.0,96.0,61.0,20.0,9.0
3,13.0,4.0,4.0,396.0,4.54,0.54,1.0,12.0,97.0,64.0,19.0,5.0
4,14.0,5.0,3.0,185.0,3.53,0.53,0.0,8.0,114.0,51.0,17.0,8.0
5,8.0,6.0,3.0,212.0,3.47,0.47,0.0,6.0,103.0,79.0,10.0,0.0
6,7.0,7.0,4.0,404.0,4.39,0.39,0.0,18.0,116.0,42.0,15.0,7.0
7,12.0,8.0,4.0,356.0,4.39,0.39,0.0,18.0,116.0,44.0,12.0,8.0
8,4.0,9.0,3.0,189.0,3.37,0.37,0.0,10.0,114.0,65.0,8.0,1.0
9,15.0,10.0,4.0,421.0,4.37,0.37,0.0,19.0,109.0,54.0,11.0,5.0
10,11.0,11.0,5.0,512.0,5.34,0.34,0.0,25.0,110.0,41.0,15.0,7.0
11,10.0,12.0,4.0,419.0,4.32,0.32,1.0,20.0,116.0,46.0,9.0,6.0
12,5.0,13.0,4.0,378.0,4.31,0.31,0.0,28.0,103.0,47.0,18.0,2.0
13,16.0,14.0,3.0,148.0,3.22,0.22,0.0,15.0,138.0,34.0,9.0,2.0
14,1.0,15.0,5.0,567.0,5.06,0.06,0.0,48.0,105.0,34.0,9.0,2.0
15,18.0,16.0,5.0,529.0,4.91,-0.09,6.0,65.0,86.0,30.0,5.0,6.0
16,6.0,17.0,4.0,294.0,3.87,-0.13,0.0,66.0,100.0,24.0,7.0,1.0
17,3.0,18.0,5.0,496.0,4.78,-0.22,8.0,86.0,62.0,29.0,7.0,5.0
