,HOL,RNK,PAR,YDG,AVG,SC,EAG,BIR,PAR,BOG,DBL,OTH
18,9.0,1.0,4.0,438.0,4.71,0.71,0.0,8.0,38.0,37.0,10.0,6.0
19,17.0,2.0,4.0,446.0,4.59,0.59,0.0,8.0,46.0,30.0,11.0,4.0
20,14.0,3.0,3.0,185.0,3.53,0.53,0.0,2.0,59.0,28.0,7.0,3.0
21,11.0,4.0,5.0,512.0,5.48,0.48,0.0,14.0,47.0,20.0,13.0,5.0
22,2.0,5.0,4.0,438.0,4.47,0.47,0.0,3.0,60.0,29.0,3.0,4.0
23,8.0,6.0,3.0,212.0,3.47,0.47,0.0,3.0,48.0,46.0,2.0,0.0
24,13.0,7.0,4.0,396.0,4.46,0.46,0.0,8.0,50.0,31.0,8.0,2.0
25,4.0,8.0,3.0,189.0,3.45,0.45,0.0,2.0,59.0,30.0,7.0,1.0
26,12.0,9.0,4.0,356.0,4.43,0.43,0.0,9.0,58.0,19.0,8.0,5.0
27,5.0,10.0,4.0,378.0,4.36,0.36,0.0,15.0,47.0,25.0,10.0,2.0
28,10.0,11.0,4.0,419.0,4.34,0.34,0.0,12.0,59.0,18.0,6.0,4.0
29,7.0,12.0,4.0,404.0,4.33,0.33,0.0,9.0,60.0,21.0,7.0,2.0
30,15.0,13.0,4.0,421.0,4.32,0.32,0.0,9.0,57.0,27.0,5.0,1.0
31,16.0,14.0,3.0,148.0,3.18,0.18,0.0,8.0,70.0,17.0,3.0,1.0
32,1.0,15.0,5.0,567.0,5.08,0.08,0.0,26.0,48.0,18.0,6.0,1.0
33,18.0,16.0,5.0,529.0,5.03,0.03,0.0,31.0,45.0,16.0,4.0,3.0
34,6.0,17.0,4.0,294.0,3.93,-0.07,0.0,29.0,55.0,9.0,5.0,1.0
35,3.0,18.0,5.0,496.0,4.74,-0.26,7.0,42.0,29.0,14.0,2.0,4.0
